"","ReceiptID","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8"
"188","188","Chocolate Eclair","Apple Pie","Blackberry Tart","Blueberry Tart","Pecan Tart","","",""
"189","189","Opera Cake","Cherry Tart","Apricot Danish","","","","",""
"190","190","Apple Tart","Gongolais Cookie","Lemon Cookie","","","","",""
"191","191","Coffee Eclair","Apricot Tart","Blackberry Tart","Bottled Water","Single Espresso","","",""
"192","192","Lemon Cake","Green Tea","","","","","",""
"193","193","Opera Cake","Cherry Tart","Raspberry Cookie","Apricot Danish","","","",""
"194","194","Vanilla Meringue","Lemon Lemonade","","","","","",""
"195","195","Truffle Cake","Gongolais Cookie","","","","","",""
"196","196","Chocolate Eclair","Berry Tart","Lemon Cookie","","","","",""
"197","197","Blueberry Tart","Almond Twist","","","","","",""
"198","198","Chocolate Meringue","Orange Juice","Cherry Soda","","","","",""
"199","199","Casino Cake","Napoleon Cake","Almond Tart","Chocolate Meringue","Marzipan Cookie","Tuile Cookie","",""
"200","200","Coffee Eclair","Blackberry Tart","Apricot Croissant","","","","",""
"201","201","Berry Tart","Cheese Croissant","Bottled Water","","","","",""
"202","202","Truffle Cake","Gongolais Cookie","Almond Bear Claw","","","","",""
"203","203","Coffee Eclair","Blackberry Tart","Single Espresso","","","","",""
"204","204","Lemon Cake","Blackberry Tart","Walnut Cookie","Almond Bear Claw","","","",""
"205","205","Chocolate Tart","Walnut Cookie","Chocolate Coffee","Vanilla Frappuccino","","","",""
"206","206","Coffee Eclair","Apple Pie","Ganache Cookie","Lemon Cookie","Almond Twist","Hot Coffee","",""
"207","207","Opera Cake","Cherry Tart","Apricot Danish","","","","",""
"208","208","Casino Cake","Raspberry Cookie","Vanilla Meringue","","","","",""
"209","209","Truffle Cake","Coffee Eclair","Almond Tart","Gongolais Cookie","Apple Croissant","Vanilla Frappuccino","",""
"210","210","Opera Cake","Napoleon Cake","Blackberry Tart","Chocolate Croissant","Apricot Danish","","",""
"211","211","Vanilla Meringue","Chocolate Croissant","Apple Danish","Almond Twist","","","",""
"212","212","Berry Tart","Bottled Water","","","","","",""
"213","213","Berry Tart","Bottled Water","","","","","",""
"214","214","Apple Tart","Lemon Tart","Gongolais Cookie","","","","",""
"215","215","Apple Tart","Lemon Tart","","","","","",""
"216","216","Chocolate Cake","Cherry Tart","Chocolate Coffee","","","","",""
"217","217","Coffee Eclair","Apple Pie","Almond Twist","","","","",""
"218","218","Berry Tart","Bottled Water","","","","","",""
"219","219","Opera Cake","Cherry Tart","Apricot Danish","Green Tea","","","",""
"220","220","Strawberry Cake","Berry Tart","Bottled Water","","","","",""
"221","221","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","","","",""
"222","222","Cherry Tart","Tuile Cookie","Cheese Croissant","Orange Juice","","","",""
"223","223","Chocolate Tart","Gongolais Cookie","Raspberry Cookie","Cheese Croissant","Blueberry Danish","Orange Juice","Green Tea",""
"224","224","Chocolate Eclair","Lemon Tart","Raspberry Lemonade","","","","",""
"225","225","Lemon Cake","Lemon Tart","","","","","",""
"226","226","Blueberry Tart","Tuile Cookie","Apricot Croissant","Hot Coffee","","","",""
"227","227","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea","","",""
"228","228","Almond Twist","","","","","","",""
"229","229","Apricot Tart","Lemon Cookie","Tuile Cookie","Raspberry Lemonade","","","",""
"230","230","Almond Tart","Apple Tart","Blueberry Danish","Chocolate Coffee","Single Espresso","","",""
"231","231","Apricot Tart","Apricot Danish","Lemon Lemonade","","","","",""
"232","232","Coffee Eclair","Apple Tart","Berry Tart","Raspberry Cookie","Almond Twist","Bottled Water","Single Espresso",""
"233","233","Coffee Eclair","Almond Tart","Berry Tart","Blackberry Tart","Single Espresso","","",""
"234","234","Opera Cake","Cherry Tart","Apricot Danish","","","","",""
"235","235","Blueberry Tart","Apricot Croissant","","","","","",""
"236","236","Opera Cake","Cherry Tart","Apricot Danish","","","","",""
"237","237","Casino Cake","Chocolate Eclair","Vanilla Eclair","Raspberry Lemonade","","","",""
"238","238","Chocolate Tart","Vanilla Meringue","Cherry Soda","Single Espresso","","","",""
"239","239","Raspberry Lemonade","","","","","","",""
"240","240","Truffle Cake","Coffee Eclair","Almond Tart","","","","",""
"241","241","Blueberry Tart","Apricot Croissant","Hot Coffee","","","","",""
"242","242","Apricot Tart","Marzipan Cookie","","","","","",""
"243","243","Chocolate Eclair","Chocolate Croissant","Almond Bear Claw","Raspberry Lemonade","Orange Juice","","",""
"244","244","Blueberry Danish","Single Espresso","","","","","",""
"245","245","Chocolate Cake","Casino Cake","Apple Tart","Apple Croissant","Chocolate Coffee","","",""
"246","246","Opera Cake","Cherry Tart","Apricot Danish","","","","",""
"247","247","Raspberry Cookie","Chocolate Meringue","Apricot Danish","Almond Bear Claw","","","",""
"248","248","Blueberry Tart","Pecan Tart","Almond Croissant","","","","",""
"249","249","Berry Tart","Apple Danish","Bottled Water","","","","",""
"250","250","Walnut Cookie","","","","","","",""
"251","251","Almond Tart","Ganache Cookie","Raspberry Cookie","Raspberry Lemonade","Bottled Water","Hot Coffee","",""
"252","252","Apple Pie","Lemon Tart","Apple Danish","","","","",""
"253","253","Strawberry Cake","Truffle Cake","Cherry Soda","","","","",""
"254","254","Almond Twist","Orange Juice","Single Espresso","","","","",""
"255","255","Opera Cake","Berry Tart","","","","","",""
"256","256","Napoleon Cake","Blueberry Tart","Lemon Tart","Gongolais Cookie","Apricot Croissant","","",""
"257","257","Chocolate Cake","Strawberry Cake","Coffee Eclair","Napoleon Cake","Apple Pie","Lemon Lemonade","",""
"258","258","Blueberry Tart","Apricot Croissant","Hot Coffee","","","","",""
"259","259","Almond Tart","Apricot Tart","Blueberry Tart","Chocolate Tart","Cherry Tart","Almond Twist","Cherry Soda",""
"260","260","Coffee Eclair","Hot Coffee","Single Espresso","","","","",""
"261","261","Napoleon Cake","Lemon Tart","Vanilla Frappuccino","","","","",""
"262","262","Green Tea","Single Espresso","","","","","",""
"263","263","Berry Tart","","","","","","",""
"264","264","Strawberry Cake","Napoleon Cake","Tuile Cookie","Raspberry Lemonade","","","",""
"265","265","Blueberry Tart","Apricot Croissant","Hot Coffee","","","","",""
"266","266","Opera Cake","Cheese Croissant","Orange Juice","","","","",""
"267","267","Raspberry Cookie","Tuile Cookie","Walnut Cookie","Raspberry Lemonade","","","",""
"268","268","Casino Cake","Almond Tart","","","","","",""
"269","269","Apple Pie","Lemon Tart","Orange Juice","Hot Coffee","","","",""
"270","270","Raspberry Cookie","Vanilla Meringue","Almond Croissant","Cheese Croissant","Orange Juice","Vanilla Frappuccino","",""
"271","271","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda","","","",""
"272","272","Chocolate Tart","Walnut Cookie","Chocolate Coffee","Vanilla Frappuccino","","","",""
"273","273","Casino Cake","","","","","","",""
"274","274","Apricot Tart","Hot Coffee","Chocolate Coffee","Vanilla Frappuccino","Cherry Soda","","",""
"275","275","Marzipan Cookie","Tuile Cookie","","","","","",""
"276","276","Opera Cake","Almond Tart","Raspberry Cookie","Lemon Cookie","Almond Twist","Bottled Water","Vanilla Frappuccino",""
"277","277","Napoleon Cake","Apricot Tart","Blackberry Tart","Ganache Cookie","Tuile Cookie","Walnut Cookie","",""
"278","278","Lemon Cake","Ganache Cookie","Chocolate Croissant","","","","",""
"279","279","Almond Twist","Single Espresso","","","","","",""
"280","280","Apricot Tart","Berry Tart","Blackberry Tart","Bottled Water","","","",""
"281","281","Chocolate Cake","Casino Cake","Chocolate Coffee","","","","",""
"282","282","Chocolate Cake","Casino Cake","Almond Bear Claw","Chocolate Coffee","","","",""
"283","283","Blueberry Tart","Cheese Croissant","Orange Juice","","","","",""
"284","284","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino","","","","",""
"285","285","Opera Cake","Berry Tart","Almond Bear Claw","","","","",""
"286","286","Apricot Tart","Ganache Cookie","Gongolais Cookie","Tuile Cookie","Apple Danish","Cherry Soda","",""
"287","287","Gongolais Cookie","Almond Croissant","Blueberry Danish","","","","",""
"288","288","Almond Tart","Blueberry Tart","Cheese Croissant","Lemon Lemonade","Orange Juice","","",""
"289","289","Opera Cake","Vanilla Eclair","Almond Tart","Blackberry Tart","Cherry Tart","Apple Croissant","Apricot Danish",""
"290","290","Opera Cake","Strawberry Cake","Berry Tart","Marzipan Cookie","Bottled Water","Hot Coffee","",""
"291","291","Casino Cake","Opera Cake","Truffle Cake","Chocolate Tart","Walnut Cookie","Orange Juice","Chocolate Coffee",""
"292","292","Lemon Cake","Lemon Tart","Marzipan Cookie","","","","",""
"293","293","Lemon Tart","Vanilla Meringue","Bottled Water","","","","",""
"294","294","Blueberry Tart","Apricot Croissant","Hot Coffee","","","","",""
"295","295","Strawberry Cake","Napoleon Cake","Lemon Cookie","","","","",""
"296","296","Casino Cake","Marzipan Cookie","Tuile Cookie","","","","",""
"297","297","Lemon Cake","Berry Tart","Cherry Tart","Almond Bear Claw","","","",""
"298","298","Vanilla Meringue","Vanilla Frappuccino","","","","","",""
"299","299","Chocolate Eclair","Coffee Eclair","Vanilla Eclair","Apple Pie","Blueberry Tart","Cherry Tart","Bottled Water",""
"300","300","Truffle Cake","Chocolate Tart","Raspberry Lemonade","","","","",""
"301","301","Apple Tart","Apple Croissant","","","","","",""
"302","302","Chocolate Eclair","Vanilla Eclair","Apple Tart","Chocolate Meringue","Apple Danish","Lemon Lemonade","Single Espresso",""
"303","303","Casino Cake","Apple Pie","Tuile Cookie","Blueberry Danish","Orange Juice","","",""
"304","304","Cheese Croissant","Orange Juice","","","","","",""
"305","305","Lemon Cake","Strawberry Cake","Chocolate Eclair","Apricot Tart","Almond Twist","","",""
"306","306","Chocolate Cake","Blueberry Tart","Cherry Tart","Apricot Croissant","","","",""
"307","307","Walnut Cookie","Apricot Danish","Bottled Water","","","","",""
"308","308","Truffle Cake","Gongolais Cookie","Single Espresso","","","","",""
"309","309","Berry Tart","Bottled Water","Chocolate Coffee","","","","",""
"310","310","Strawberry Cake","Napoleon Cake","Apple Tart","","","","",""
"311","311","Blackberry Tart","Blueberry Tart","Apricot Croissant","Hot Coffee","","","",""
"312","312","Almond Croissant","","","","","","",""
"313","313","Chocolate Tart","Marzipan Cookie","Walnut Cookie","Almond Twist","Vanilla Frappuccino","Cherry Soda","",""
"314","314","Opera Cake","Strawberry Cake","Napoleon Cake","Blackberry Tart","Single Espresso","","",""
"315","315","Lemon Cake","Opera Cake","","","","","",""
"316","316","Lemon Cake","Vanilla Eclair","Berry Tart","Vanilla Meringue","Vanilla Frappuccino","","",""
"317","317","Vanilla Eclair","Blackberry Tart","Lemon Tart","Apricot Croissant","Lemon Lemonade","Single Espresso","",""
"318","318","Apple Pie","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino","Cherry Soda","","",""
"319","319","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda","","","",""
"320","320","Vanilla Meringue","Almond Croissant","Single Espresso","","","","",""
"321","321","Apricot Tart","Chocolate Meringue","Hot Coffee","","","","",""
"322","322","Lemon Cake","Lemon Tart","","","","","",""
"323","323","Cherry Tart","Lemon Tart","Apricot Danish","Hot Coffee","","","",""
"324","324","Chocolate Cake","Chocolate Coffee","","","","","",""
"325","325","Truffle Cake","Coffee Eclair","Apple Tart","","","","",""
"326","326","Tuile Cookie","Walnut Cookie","Cherry Soda","","","","",""
"327","327","Lemon Cookie","Marzipan Cookie","Apple Croissant","","","","",""
"328","328","Berry Tart","Lemon Tart","Apple Croissant","Bottled Water","Hot Coffee","","",""
"329","329","Blueberry Tart","Apricot Croissant","Hot Coffee","","","","",""
"330","330","Lemon Tart","Vanilla Frappuccino","","","","","",""
"331","331","Cheese Croissant","Orange Juice","","","","","",""
"332","332","Opera Cake","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino","","","",""
"333","333","Orange Juice","","","","","","",""
"334","334","Opera Cake","Cherry Tart","Apricot Danish","Green Tea","","","",""
"335","335","Casino Cake","Strawberry Cake","Vanilla Meringue","Chocolate Coffee","Vanilla Frappuccino","","",""
"336","336","Marzipan Cookie","Tuile Cookie","Almond Croissant","Bottled Water","","","",""
"337","337","Chocolate Meringue","Walnut Cookie","Apricot Croissant","","","","",""
"338","338","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda","","","",""
